Date,Time,Cheating Detected,Cheating Reason,Speech Content,Mouth Status,Device Detected,Confidence Score
19-11-2024,21:07:57,Yes,Phone detected,N/A,N/A,Yes,0.8791122
19-11-2024,21:14:37,Yes,Phone detected,N/A,N/A,Yes,0.7516636
19-11-2024,21:15:20,Yes,Phone detected,N/A,N/A,Yes,0.5020943
19-11-2024,21:18:46,Yes,"Mouth open detected and Copying detected: Matched words: {'in', 'movie'}",movie movie star star in movie,Open,No,0.9390925
20-11-2024,10:17:05,Yes,Phone detected,N/A,N/A,Yes,0.70546603
20-11-2024,13:31:39,Yes,Phone detected,N/A,N/A,Yes,0.9992975
20-11-2024,13:32:43,Yes,Phone detected,N/A,N/A,Yes,0.95117074
2024-11-20,13:34:08,Yes,Phone detected,N/A,N/A,Yes,0.8505803
2024-11-20,13:46:00,Yes,Mouth open detected and Copying detected: Matched words: {'the'},Could not understand the audio,Open,No,0.9977769
2024-11-20,13:47:22,Yes,Phone detected,N/A,N/A,Yes,0.75617695
2024-11-20,13:48:20,Yes,Phone detected,N/A,N/A,Yes,0.72407395
2024-11-20,13:51:49,Yes,Phone detected,N/A,N/A,Yes,0.7907573
2024-11-20,13:57:47,Yes,Phone detected,N/A,N/A,Yes,0.7569916
2024-11-20,13:58:23,Yes,Phone detected,N/A,N/A,Yes,0.99126935
2024-11-20,13:58:57,Yes,Phone detected,N/A,N/A,Yes,0.75110245
2024-11-20,14:01:10,Yes,Mouth open detected and Copying detected: Matched words: {'movie'},movie start,Open,Yes,0.9453422
2024-11-20,14:02:08,Yes,Mouth open detected and Copying detected: Matched words: {'the'},Could not understand the audio,Open,Yes,0.9999893
